Region,Representative Name,Medical Drug Name,No.of Drugs Sold,Month
East,Amani Agarwal,Drug_7,12,May
East,Amani Agarwal,Drug_8,9,May
East,Amani Agarwal,Drug_9,1,May
East,Amani Agarwal,Drug_10,2,May
East,Trisha Dhillon,Drug_1,15,May
East,Trisha Dhillon,Drug_2,30,May
East,Trisha Dhillon,Drug_3,39,May
East,Trisha Dhillon,Drug_4,49,May
East,Trisha Dhillon,Drug_5,4,May
East,Trisha Dhillon,Drug_6,29,May
East,Trisha Dhillon,Drug_7,26,May
East,Trisha Dhillon,Drug_8,40,May
East,Trisha Dhillon,Drug_9,36,May
East,Trisha Dhillon,Drug_10,12,May
East,Pihu Wali,Drug_1,45,May
East,Pihu Wali,Drug_2,44,May
East,Pihu Wali,Drug_3,24,May
East,Pihu Wali,Drug_4,31,May
East,Pihu Wali,Drug_5,25,May
East,Pihu Wali,Drug_6,15,May
East,Pihu Wali,Drug_7,9,May
East,Pihu Wali,Drug_8,41,May
East,Pihu Wali,Drug_9,44,May
East,Pihu Wali,Drug_10,0,May
East,Tejas Bumb,Drug_1,48,May
East,Tejas Bumb,Drug_2,49,May
East,Tejas Bumb,Drug_3,6,May
East,Tejas Bumb,Drug_4,49,May
East,Tejas Bumb,Drug_5,27,May
East,Tejas Bumb,Drug_6,14,May
East,Tejas Bumb,Drug_7,11,May
East,Tejas Bumb,Drug_8,44,May
East,Tejas Bumb,Drug_9,33,May
East,Tejas Bumb,Drug_10,29,May
East,Saanvi Sachar,Drug_1,3,May
East,Saanvi Sachar,Drug_2,35,May
East,Saanvi Sachar,Drug_3,15,May
East,Saanvi Sachar,Drug_4,7,May
East,Saanvi Sachar,Drug_5,29,May
East,Saanvi Sachar,Drug_6,8,May
East,Saanvi Sachar,Drug_7,29,May
East,Saanvi Sachar,Drug_8,42,May
East,Saanvi Sachar,Drug_9,33,May
East,Saanvi Sachar,Drug_10,35,May
East,Damini Singh,Drug_1,38,May
East,Damini Singh,Drug_2,20,May
East,Damini Singh,Drug_3,48,May
East,Damini Singh,Drug_4,28,May
East,Damini Singh,Drug_5,39,May
East,Damini Singh,Drug_6,46,May
East,Damini Singh,Drug_7,32,May
East,Damini Singh,Drug_8,27,May
East,Damini Singh,Drug_9,35,May
East,Damini Singh,Drug_10,28,May
East,Charvi Hora,Drug_1,10,May
East,Charvi Hora,Drug_2,47,May
East,Charvi Hora,Drug_3,30,May
East,Charvi Hora,Drug_4,28,May
East,Charvi Hora,Drug_5,16,May
East,Charvi Hora,Drug_6,48,May
East,Charvi Hora,Drug_7,15,May
East,Charvi Hora,Drug_8,40,May
East,Charvi Hora,Drug_9,17,May
East,Charvi Hora,Drug_10,49,May
East,Mehul Krishnan,Drug_1,49,May
East,Mehul Krishnan,Drug_2,33,May
East,Mehul Krishnan,Drug_3,31,May
East,Mehul Krishnan,Drug_4,40,May
East,Mehul Krishnan,Drug_5,15,May
East,Mehul Krishnan,Drug_6,17,May
East,Mehul Krishnan,Drug_7,28,May
East,Mehul Krishnan,Drug_8,4,May
East,Mehul Krishnan,Drug_9,45,May
East,Mehul Krishnan,Drug_10,18,May
East,Navya Bhalla,Drug_1,15,May
East,Navya Bhalla,Drug_2,17,May
East,Navya Bhalla,Drug_3,21,May
East,Navya Bhalla,Drug_4,20,May
East,Navya Bhalla,Drug_5,34,May
East,Navya Bhalla,Drug_6,5,May
East,Navya Bhalla,Drug_7,8,May
East,Navya Bhalla,Drug_8,9,May
East,Navya Bhalla,Drug_9,14,May
East,Navya Bhalla,Drug_10,24,May
East,Taran Mani,Drug_1,44,May
East,Taran Mani,Drug_2,9,May
East,Taran Mani,Drug_3,45,May
East,Taran Mani,Drug_4,13,May
East,Taran Mani,Drug_5,4,May
East,Taran Mani,Drug_6,26,May
East,Taran Mani,Drug_7,26,May
East,Taran Mani,Drug_8,21,May
East,Taran Mani,Drug_9,34,May
East,Taran Mani,Drug_10,29,May
West,Aaryahi Yadav,Drug_1,26,May
West,Aaryahi Yadav,Drug_2,3,May
West,Aaryahi Yadav,Drug_3,13,May
West,Aaryahi Yadav,Drug_4,26,May
West,Aaryahi Yadav,Drug_5,24,May
West,Aaryahi Yadav,Drug_6,49,May
West,Aaryahi Yadav,Drug_7,37,May
West,Aaryahi Yadav,Drug_8,44,May
West,Aaryahi Yadav,Drug_9,1,May
West,Aaryahi Yadav,Drug_10,48,May
West,Aaina Choudhary,Drug_1,36,May
West,Aaina Choudhary,Drug_2,24,May
West,Aaina Choudhary,Drug_3,30,May
West,Aaina Choudhary,Drug_4,0,May
West,Aaina Choudhary,Drug_5,22,May
West,Aaina Choudhary,Drug_6,19,May
West,Aaina Choudhary,Drug_7,48,May
West,Aaina Choudhary,Drug_8,24,May
West,Aaina Choudhary,Drug_9,26,May
West,Aaina Choudhary,Drug_10,34,May
West,Saira Deep,Drug_1,47,May
West,Saira Deep,Drug_2,47,May
West,Saira Deep,Drug_3,34,May
West,Saira Deep,Drug_4,38,May
West,Saira Deep,Drug_5,14,May
West,Saira Deep,Drug_6,31,May
West,Saira Deep,Drug_7,14,May
West,Saira Deep,Drug_8,17,May
West,Saira Deep,Drug_9,27,May
West,Saira Deep,Drug_10,31,May
West,Tiya Soni,Drug_1,1,May
West,Tiya Soni,Drug_2,24,May
West,Tiya Soni,Drug_3,21,May
West,Tiya Soni,Drug_4,42,May
West,Tiya Soni,Drug_5,43,May
West,Tiya Soni,Drug_6,25,May
West,Tiya Soni,Drug_7,46,May
West,Tiya Soni,Drug_8,10,May
West,Tiya Soni,Drug_9,29,May
West,Tiya Soni,Drug_10,8,May
West,Alia Raja,Drug_1,39,May
West,Alia Raja,Drug_2,34,May
West,Alia Raja,Drug_3,1,May
West,Alia Raja,Drug_4,25,May
West,Alia Raja,Drug_5,37,May
West,Alia Raja,Drug_6,36,May
West,Alia Raja,Drug_7,42,May
West,Alia Raja,Drug_8,1,May
West,Alia Raja,Drug_9,5,May
West,Alia Raja,Drug_10,41,May
West,Hazel Sethi,Drug_1,27,May
West,Hazel Sethi,Drug_2,8,May
West,Hazel Sethi,Drug_3,29,May
West,Hazel Sethi,Drug_4,11,May
West,Hazel Sethi,Drug_5,3,May
West,Hazel Sethi,Drug_6,16,May
West,Hazel Sethi,Drug_7,24,May
West,Hazel Sethi,Drug_8,20,May
West,Hazel Sethi,Drug_9,13,May
West,Hazel Sethi,Drug_10,29,May
West,Jhanvi Chaudhary,Drug_1,20,May
West,Jhanvi Chaudhary,Drug_2,21,May
West,Jhanvi Chaudhary,Drug_3,48,May
West,Jhanvi Chaudhary,Drug_4,24,May
West,Jhanvi Chaudhary,Drug_5,17,May
West,Jhanvi Chaudhary,Drug_6,48,May
West,Jhanvi Chaudhary,Drug_7,26,May
West,Jhanvi Chaudhary,Drug_8,16,May
West,Jhanvi Chaudhary,Drug_9,5,May
West,Jhanvi Chaudhary,Drug_10,30,May
West,Saira Bhandari,Drug_1,1,May
West,Saira Bhandari,Drug_2,47,May
West,Saira Bhandari,Drug_3,34,May
West,Saira Bhandari,Drug_4,3,May
West,Saira Bhandari,Drug_5,22,May
West,Saira Bhandari,Drug_6,14,May
West,Saira Bhandari,Drug_7,41,May
West,Saira Bhandari,Drug_8,4,May
West,Saira Bhandari,Drug_9,49,May
West,Saira Bhandari,Drug_10,41,May
West,Ehsaan Batra,Drug_1,2,May
West,Ehsaan Batra,Drug_2,48,May
West,Ehsaan Batra,Drug_3,1,May
West,Ehsaan Batra,Drug_4,15,May
West,Ehsaan Batra,Drug_5,12,May
West,Ehsaan Batra,Drug_6,1,May
West,Ehsaan Batra,Drug_7,39,May
West,Ehsaan Batra,Drug_8,9,May
West,Ehsaan Batra,Drug_9,15,May
West,Ehsaan Batra,Drug_10,8,May
West,Lakshay Sampath,Drug_1,30,May
West,Lakshay Sampath,Drug_2,42,May
West,Lakshay Sampath,Drug_3,7,May
West,Lakshay Sampath,Drug_4,36,May
West,Lakshay Sampath,Drug_5,13,May
West,Lakshay Sampath,Drug_6,29,May
West,Lakshay Sampath,Drug_7,44,May
West,Lakshay Sampath,Drug_8,16,May
West,Lakshay Sampath,Drug_9,49,May
West,Lakshay Sampath,Drug_10,23,May
West,Madhup Sani,Drug_1,10,May
West,Madhup Sani,Drug_2,38,May
West,Madhup Sani,Drug_3,38,May
West,Madhup Sani,Drug_4,47,May
West,Madhup Sani,Drug_5,45,May
West,Madhup Sani,Drug_6,7,May
West,Madhup Sani,Drug_7,49,May
West,Madhup Sani,Drug_8,10,May
West,Madhup Sani,Drug_9,19,May
West,Madhup Sani,Drug_10,6,May
West,Lakshit Mander,Drug_1,37,May
West,Lakshit Mander,Drug_2,1,May
West,Lakshit Mander,Drug_3,19,May
West,Lakshit Mander,Drug_4,36,May
West,Lakshit Mander,Drug_5,43,May
West,Lakshit Mander,Drug_6,24,May
West,Lakshit Mander,Drug_7,25,May
West,Lakshit Mander,Drug_8,45,May
West,Lakshit Mander,Drug_9,12,May
West,Lakshit Mander,Drug_10,4,May
West,Arhaan Swaminathan,Drug_1,37,May
West,Arhaan Swaminathan,Drug_2,44,May
West,Arhaan Swaminathan,Drug_3,40,May
West,Arhaan Swaminathan,Drug_4,15,May
West,Arhaan Swaminathan,Drug_5,6,May
West,Arhaan Swaminathan,Drug_6,44,May
West,Arhaan Swaminathan,Drug_7,49,May
West,Arhaan Swaminathan,Drug_8,19,May
West,Arhaan Swaminathan,Drug_9,43,May
West,Arhaan Swaminathan,Drug_10,38,May
West,Raghav Das,Drug_1,7,May
West,Raghav Das,Drug_2,50,May
West,Raghav Das,Drug_3,36,May
West,Raghav Das,Drug_4,50,May
West,Raghav Das,Drug_5,2,May
West,Raghav Das,Drug_6,22,May
West,Raghav Das,Drug_7,34,May
West,Raghav Das,Drug_8,27,May
West,Raghav Das,Drug_9,42,May
West,Raghav Das,Drug_10,23,May
West,Myra Tiwari,Drug_1,4,May
West,Myra Tiwari,Drug_2,32,May
West,Myra Tiwari,Drug_3,41,May
West,Myra Tiwari,Drug_4,21,May
West,Myra Tiwari,Drug_5,0,May
West,Myra Tiwari,Drug_6,26,May
West,Myra Tiwari,Drug_7,31,May
West,Myra Tiwari,Drug_8,6,May
West,Myra Tiwari,Drug_9,27,May
West,Myra Tiwari,Drug_10,23,May
West,Nayantara Karnik,Drug_1,40,May
West,Nayantara Karnik,Drug_2,29,May
West,Nayantara Karnik,Drug_3,45,May
West,Nayantara Karnik,Drug_4,9,May
West,Nayantara Karnik,Drug_5,27,May
West,Nayantara Karnik,Drug_6,11,May
West,Nayantara Karnik,Drug_7,46,May
West,Nayantara Karnik,Drug_8,33,May
West,Nayantara Karnik,Drug_9,41,May
West,Nayantara Karnik,Drug_10,17,May
West,Amira Loyal,Drug_1,39,May
West,Amira Loyal,Drug_2,34,May
West,Amira Loyal,Drug_3,49,May
West,Amira Loyal,Drug_4,30,May
West,Amira Loyal,Drug_5,29,May
West,Amira Loyal,Drug_6,27,May
West,Amira Loyal,Drug_7,46,May
West,Amira Loyal,Drug_8,37,May
West,Amira Loyal,Drug_9,17,May
West,Amira Loyal,Drug_10,20,May
West,Kartik Sarraf,Drug_1,15,May
West,Kartik Sarraf,Drug_2,5,May
West,Kartik Sarraf,Drug_3,17,May
West,Kartik Sarraf,Drug_4,28,May
West,Kartik Sarraf,Drug_5,15,May
West,Kartik Sarraf,Drug_6,48,May
West,Kartik Sarraf,Drug_7,29,May
West,Kartik Sarraf,Drug_8,36,May
West,Kartik Sarraf,Drug_9,39,May
West,Kartik Sarraf,Drug_10,42,May
West,Anahi Gupta,Drug_1,24,May
West,Anahi Gupta,Drug_2,21,May
West,Anahi Gupta,Drug_3,1,May
West,Anahi Gupta,Drug_4,31,May
West,Anahi Gupta,Drug_5,20,May
West,Anahi Gupta,Drug_6,11,May
West,Anahi Gupta,Drug_7,31,May
West,Anahi Gupta,Drug_8,13,May
West,Anahi Gupta,Drug_9,22,May
West,Anahi Gupta,Drug_10,16,May
West,Divij Chopra,Drug_1,21,May
West,Divij Chopra,Drug_2,17,May
West,Divij Chopra,Drug_3,38,May
West,Divij Chopra,Drug_4,44,May
West,Divij Chopra,Drug_5,17,May
West,Divij Chopra,Drug_6,35,May
West,Divij Chopra,Drug_7,0,May
West,Divij Chopra,Drug_8,33,May
West,Divij Chopra,Drug_9,12,May
West,Divij Chopra,Drug_10,5,May
West,Heer Sheth,Drug_1,15,May
West,Heer Sheth,Drug_2,46,May
West,Heer Sheth,Drug_3,26,May
West,Heer Sheth,Drug_4,31,May
West,Heer Sheth,Drug_5,35,May
West,Heer Sheth,Drug_6,48,May
West,Heer Sheth,Drug_7,15,May
West,Heer Sheth,Drug_8,44,May
West,Heer Sheth,Drug_9,30,May
West,Heer Sheth,Drug_10,41,May
West,Priyansh Sodhi,Drug_1,45,May
West,Priyansh Sodhi,Drug_2,31,May
West,Priyansh Sodhi,Drug_3,28,May
West,Priyansh Sodhi,Drug_4,50,May
West,Priyansh Sodhi,Drug_5,1,May
West,Priyansh Sodhi,Drug_6,5,May
West,Priyansh Sodhi,Drug_7,18,May
West,Priyansh Sodhi,Drug_8,14,May
West,Priyansh Sodhi,Drug_9,25,May
West,Priyansh Sodhi,Drug_10,44,May
West,Zara Buch,Drug_1,15,May
West,Zara Buch,Drug_2,19,May
West,Zara Buch,Drug_3,42,May
West,Zara Buch,Drug_4,37,May
West,Zara Buch,Drug_5,23,May
West,Zara Buch,Drug_6,30,May
West,Zara Buch,Drug_7,35,May
West,Zara Buch,Drug_8,33,May
West,Zara Buch,Drug_9,22,May
West,Zara Buch,Drug_10,27,May
West,Divyansh Gupta,Drug_1,47,May
West,Divyansh Gupta,Drug_2,35,May
West,Divyansh Gupta,Drug_3,21,May
West,Divyansh Gupta,Drug_4,22,May
West,Divyansh Gupta,Drug_5,44,May
West,Divyansh Gupta,Drug_6,29,May
West,Divyansh Gupta,Drug_7,17,May
West,Divyansh Gupta,Drug_8,19,May
West,Divyansh Gupta,Drug_9,16,May
West,Divyansh Gupta,Drug_10,14,May
West,Ritvik Thakkar,Drug_1,7,May
West,Ritvik Thakkar,Drug_2,46,May
West,Ritvik Thakkar,Drug_3,12,May
West,Ritvik Thakkar,Drug_4,20,May
West,Ritvik Thakkar,Drug_5,7,May
West,Ritvik Thakkar,Drug_6,47,May
West,Ritvik Thakkar,Drug_7,34,May
West,Ritvik Thakkar,Drug_8,48,May
West,Ritvik Thakkar,Drug_9,44,May
West,Ritvik Thakkar,Drug_10,11,May
